,INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
453,63405888,63405888-16387,18-24,Male,Black Hispanic,Y
454,63472901,63472901-16410,25-44,Male,Black,N
455,63507850,63507850-16420,18-24,Male,Black,N
456,63589567,63589567-16428,18-24,Male,Black,N
457,63633526,63633526-16437,25-44,Male,Black,N
458,63656611,63656611-16459,25-44,Female,White Hispanic,N
459,63773507,63773507-16476,25-44,Male,Black,N
460,63814717,63814717-16485,18-24,Male,White Hispanic,Y
461,63885691,63885691-16521,18-24,Male,Black,N
462,63919429,63919429-16525,18-24,Male,Black,Y
463,63926768,63926768-16527,18-24,Male,Black,N
464,64010806,64010806-16542,25-44,Male,Black,N
465,64183393,64183393-16580,25-44,Male,Black,Y
466,64183393,64183393-16581,25-44,Male,Black,N
467,64389960,64389960-16645,25-44,Male,Black,Y
468,64479273,64479273-16670,25-44,Male,Black,N
469,64529968,64529968-16688,<18,Male,Black,N
470,64804438,64804438-16775,25-44,Male,Black Hispanic,N
471,65010708,65010708-16809,25-44,Male,Black Hispanic,Y
472,65010708,65010708-16810,25-44,Male,Black Hispanic,N
473,65010708,65010708-16811,25-44,Male,White Hispanic,N
474,65394362,65394362-16883,25-44,Male,Black,N
475,65440608,65440608-16890,18-24,Male,Black,N
476,65928468,65928468-16969,18-24,Male,Black,N
477,65931842,65931842-16980,18-24,Male,Black,N
478,66027258,66027258-16998,25-44,Female,White Hispanic,Y
479,66027258,66027258-16999,25-44,Male,White Hispanic,N
480,66217184,66217184-17030,45-64,Male,Black,N
481,66591579,66591579-17084,18-24,Male,Black,N
482,66629762,66629762-17092,25-44,Male,Black,N
483,66629762,66629762-17113,25-44,Male,Black,N
484,66629762,66629762-17114,25-44,Male,Black,N
485,66632688,66632688-17097,18-24,Male,Black,N
486,66680880,66680880-17105,25-44,Male,Black,N
487,67213141,67213141-17196,18-24,Male,Black,N
488,67213141,67213141-17200,18-24,Male,Black,N
489,67431955,67431955-17243,25-44,Male,White Hispanic,Y
490,67631482,67631482-17255,25-44,Male,Black,N
491,67847585,67847585-17289,<18,Female,Black Hispanic,N
492,67847585,67847585-17290,18-24,Male,Black Hispanic,N
493,67847586,67847586-17291,18-24,Male,Black,N
494,67848289,67848289-17292,25-44,Female,Black Hispanic,N
495,68057381,68057381-17334,25-44,Male,Black,N
496,68079286,68079286-17338,25-44,Male,White Hispanic,N
497,68197459,68197459-17361,18-24,Male,Black,N
498,299382241,299382241-1,25-44,Male,Black Hispanic,N
499,299462478,299462478-1,45-64,Male,Black,Y
500,212099041,212099041-1,25-44,Male,Black,N
501,139015129,139015129-27006,18-24,Male,Black,N
502,139015129,139015129-27007,<18,Male,Black,N
503,167582208,167582208-31222,25-44,Male,Black,N
504,139552937,139552937-27156,25-44,Male,Black,N
505,139574750,139574750-27169,18-24,Male,White Hispanic,N
506,139644546,139644546-27192,25-44,Male,Black,N
507,138849337,138849337-26952,18-24,Male,Black,N
508,138849337,138849337-26953,18-24,Male,Black,N
509,167664433,167664433-31226,25-44,Male,Black,N
510,167835437,167835437-31236,18-24,Male,Black,N
511,167871188,167871188-31254,25-44,Male,Black,Y
512,168000272,168000272-31266,25-44,Male,White Hispanic,Y
